values,freq,unit,sex,age,geo,time
10725.0,A,NR,T,Y14,BE10,1996
10341.0,A,NR,T,Y14,BE10,1997
10082.0,A,NR,T,Y14,BE10,1998
10293.0,A,NR,T,Y14,BE10,1999
10001.0,A,NR,T,Y14,BE10,2000
10346.0,A,NR,T,Y14,BE10,2001
10672.0,A,NR,T,Y14,BE10,2002
11009.0,A,NR,T,Y14,BE10,2003
11045.0,A,NR,T,Y14,BE10,2004
11205.0,A,NR,T,Y14,BE10,2005
11289.0,A,NR,T,Y14,BE10,2006
11328.0,A,NR,T,Y14,BE10,2007
11304.0,A,NR,T,Y14,BE10,2008
11316.0,A,NR,T,Y14,BE10,2009
11345.0,A,NR,T,Y14,BE10,2010
11941.0,A,NR,T,Y14,BE10,2011
12203.0,A,NR,T,Y14,BE10,2012
12104.0,A,NR,T,Y14,BE10,2013
12586.0,A,NR,T,Y14,BE10,2014
12752.0,A,NR,T,Y14,BE10,2015
12992.0,A,NR,T,Y14,BE10,2016
12801.0,A,NR,T,Y14,BE10,2017
13287.0,A,NR,T,Y14,BE10,2018
13765.0,A,NR,T,Y14,BE10,2019
13937.0,A,NR,T,Y14,BE10,2020
14303.0,A,NR,T,Y14,BE10,2021
14701.0,A,NR,T,Y14,BE10,2022
15112.0,A,NR,T,Y14,BE10,2023
15563.0,A,NR,T,Y14,BE10,2024
15750.0,A,NR,T,Y14,BE10,2025
10311.0,A,NR,T,Y15,BE10,1990
10203.0,A,NR,T,Y15,BE10,1991
10171.0,A,NR,T,Y15,BE10,1992
10244.0,A,NR,T,Y15,BE10,1993
10425.0,A,NR,T,Y15,BE10,1994
10511.0,A,NR,T,Y15,BE10,1995
10695.0,A,NR,T,Y15,BE10,1996
10660.0,A,NR,T,Y15,BE10,1997
10337.0,A,NR,T,Y15,BE10,1998
10117.0,A,NR,T,Y15,BE10,1999
10337.0,A,NR,T,Y15,BE10,2000
10043.0,A,NR,T,Y15,BE10,2001
10494.0,A,NR,T,Y15,BE10,2002
10747.0,A,NR,T,Y15,BE10,2003
11049.0,A,NR,T,Y15,BE10,2004
11129.0,A,NR,T,Y15,BE10,2005
11254.0,A,NR,T,Y15,BE10,2006
11345.0,A,NR,T,Y15,BE10,2007
11373.0,A,NR,T,Y15,BE10,2008
11343.0,A,NR,T,Y15,BE10,2009
